DateTime,AddedIPs,RemovedIPs
1532992324,75,0
1532992924,67,3
1532993524,55,0
1532994124,54,0
1532995323,60,1
1532995923,53,0
1532996523,43,3
1532997124,68,0
1532997723,50,0
1532998324,64,2
1532998924,57,0
1532999523,70,0
1533000123,68,3
1533000782,64,0
1533001324,62,0
1533001923,43,1
1533002523,37,2
1533003123,63,0
1533003723,60,6
1533004324,60,0
1533004381,2,0
1533004924,65,13
1533005523,70,9
1533006123,67,0
1533007324,68,11
1533007923,64,3
1533008524,70,1
1533009723,68,6
1533010323,70,0
1533010923,62,2
1533011523,55,0
1533012123,53,0
1533012723,8,0
1533013323,56,2
1533013924,45,0
1533014524,62,2
1533015181,71,2
1533015723,44,2
1533016923,38,3
1533018123,52,2
1533019323,53,1
1533019924,61,8
1533020523,59,9
1533021724,54,3
1533022923,54,9
1533024124,60,6
1533025324,67,6
1533025924,70,0
1533026523,61,0
1533027124,60,1
1533027723,69,3
1533028923,57,11
1533030123,67,7
1533031323,56,4
1533031924,55,0
1533032523,72,0
1533033124,50,0
1533033724,62,3
1533034323,1,0
1533034923,47,0
1533036124,77,10
1533036723,55,0
1533037323,65,0
1533037923,56,0
1533038523,64,0
1533039723,8,5
1533040924,55,1
1533042123,63,3
1533042723,59,3
1533043323,59,10
1533043923,28,0
1533044523,39,3
1533045123,42,0
1533045723,10,7
1533046323,1,0
1533046923,12,0
1533047524,41,0
1533048123,70,0
1533048724,8,12
1533049324,50,6
1533049923,54,2
1533050524,28,0
1533051723,30,6
1533052324,26,0
1533052923,47,8
1533053524,2,0
1533054123,14,4
1533054723,66,7
1533055323,53,5
1533055924,58,0
1533056523,44,3
1533057723,59,12
1533058923,59,0
1533059523,59,13
1533060124,50,1
1533060725,1,0
1533061323,60,3
1533061923,1,0
1533062523,60,5
1533063123,60,0
1533063724,62,11
1533064323,29,0
1533064924,59,8
1533065523,56,0
1533067323,43,34
1533068524,58,7
1533069724,50,9
1533070923,57,23
1533072124,50,7
1533073323,21,9
1533073923,64,1
1533074523,58,9
1533075123,1,9
1533075724,60,0
1533076924,17,28
1533078124,45,6
1533078723,52,1
1533079324,65,10
1533079923,2,0
1533080524,53,1
1533081724,15,20
1533082924,51,0
1533084124,74,29
1533085323,61,5
1533086524,63,35
1533087124,4,0
1533087723,28,5
1533088322,2,0
1533088923,32,13
1533090123,32,4
1533090723,59,11
1533091323,56,8
1533091923,47,0
1533092523,38,8
1533093123,58,1
1533093724,60,11
1533094323,0,6
1533094924,51,0
1533095523,48,2
1533096124,43,16
1533097323,53,0
1533098524,51,30
1533099123,3,0
1533099724,59,0
1533100923,59,13
1533102124,73,8
1533102724,34,5
1533103323,46,9
1533103924,52,10
1533104524,56,0
1533105124,51,0
1533105724,39,18
1533106923,60,0
1533107524,52,21
1533108123,37,5
1533108724,49,2
1533109323,56,1
1533109923,40,5
1533110524,59,3
1533111723,31,15
1533112324,39,0
1533112924,77,4
1533113523,43,7
1533114123,57,4
1533115324,60,31
1533116523,29,0
1533117123,72,15
1533117723,59,10
1533118324,59,0
1533118924,55,0
1533119523,2,2
1533120124,42,16
1533121323,52,7
1533121924,48,2
1533122524,68,6
1533123123,13,0
1533124323,44,7
1533124923,53,10
1533126123,50,7
1533126722,1,0
1533127323,42,0
1533128523,51,18
1533129124,57,3
1533129723,42,7
1533130923,54,10
1533131523,41,0
1533132123,24,1
1533133325,59,4
1533134524,22,5
1533135124,65,8
1533135723,37,0
1533136923,12,9
1533137523,50,1
1533138123,62,0
1533138724,36,9
1533139323,46,6
1533139924,37,0
1533140523,46,0
1533141124,52,3
1533141723,52,10
1533142323,1,0
1533142923,52,1
1533144124,61,10
1533144723,52,0
1533145323,53,5
1533146523,55,7
1533147124,52,1
1533147724,50,4
1533148323,1,1
1533148923,51,8
1533149523,50,0
1533150123,60,0
1533151323,43,11
1533151924,47,3
1533152523,46,4
1533153123,45,6
1533153723,50,5
