DateTime,AddedIPs,RemovedIPs
1532964724,80,80
1532965324,80,80
1532965923,80,80
1532966523,80,80
1532967124,80,80
1532967725,80,80
1532968924,80,80
1532969523,80,80
1532970123,80,80
1532971323,80,80
1532972524,80,80
1532973724,80,80
1532974323,80,80
1532974923,80,80
1532976123,80,80
1532976723,80,80
1532977324,80,80
1532977924,80,80
1532978523,80,80
1532979723,80,80
1532980923,80,80
1532981523,80,80
1532982722,80,80
1532983323,80,80
1532984522,80,80
1532985723,80,80
1532986323,80,80
1532986923,80,80
1532987523,80,80
1532988123,80,80
1532988723,80,80
1532989323,80,80
1532990524,80,80
1532991124,80,80
1532991723,80,80
1532992324,80,80
1532992924,80,80
1532993524,80,80
1532994124,80,80
1532995323,80,80
1532995923,80,80
1532996523,80,80
1532997124,80,80
1532997723,80,80
1532998324,80,80
1532998924,80,80
1532999523,80,80
1533000123,80,80
1533000724,80,80
1533001324,80,80
1533001923,80,80
1533002523,80,80
1533003123,80,80
1533003723,80,80
1533004324,80,80
1533004924,80,80
1533005523,80,80
1533006123,80,80
1533007324,80,80
1533007923,80,80
1533008524,80,80
1533009723,80,80
1533010323,80,80
1533010923,80,80
1533011523,80,80
1533012123,80,80
1533012723,80,80
1533013323,80,80
1533013924,80,80
1533014524,80,80
1533015123,80,80
1533015723,80,80
1533016923,80,80
1533018123,80,80
1533019323,80,80
1533019924,80,80
1533020523,80,80
1533021724,80,80
1533022923,80,80
1533024124,80,80
1533025324,80,80
1533025924,80,80
1533026523,80,80
1533027124,80,80
1533027723,80,80
1533028923,80,80
1533030123,80,80
1533031323,80,80
1533031924,80,80
1533032523,80,80
1533033124,80,80
1533033724,80,80
1533034923,80,80
1533036124,80,80
1533036723,80,80
1533037323,80,80
1533037923,80,80
1533038523,80,80
1533039723,11,11
1533040924,80,80
1533042123,80,80
1533042723,80,80
1533043323,80,80
1533043923,80,80
1533044523,80,80
1533045123,80,80
1533045723,80,80
1533046923,80,80
1533047524,80,80
1533048123,80,80
1533048724,80,80
1533049324,80,80
1533049923,80,80
1533050524,80,80
1533051723,80,80
1533052324,80,80
1533052923,80,80
1533054123,80,80
1533054723,80,80
1533055323,80,80
1533055924,80,80
1533056523,80,80
1533057723,80,80
1533058923,80,80
1533059523,80,80
1533060124,80,80
1533061323,80,80
1533062523,80,80
1533063123,80,80
1533063724,80,80
1533064323,80,80
1533064924,80,80
1533065523,80,80
1533067323,80,80
1533068524,80,80
1533069724,80,80
1533070923,80,80
1533072124,80,80
1533073323,80,80
1533073923,80,80
1533074523,80,80
1533075724,80,80
1533076924,80,80
1533078124,80,80
1533078723,80,80
1533079324,80,80
1533080524,80,80
1533081724,80,80
1533082924,80,80
1533084124,80,80
1533085323,80,80
1533086524,80,80
1533087723,80,80
1533088923,80,80
1533090123,80,80
1533090723,80,80
1533091323,80,80
1533091923,80,80
1533092523,79,79
1533093123,80,80
1533093724,80,80
1533094924,80,80
1533095523,80,80
1533096124,80,80
1533097323,80,80
1533098524,80,80
1533099724,80,80
1533100923,80,80
1533102124,80,80
1533102724,80,80
1533103323,80,80
1533103924,80,80
1533104524,80,80
1533105124,80,80
1533105724,80,80
1533106923,80,80
1533107524,80,80
1533108123,80,80
1533108724,80,80
1533109323,80,80
1533109923,80,80
1533110524,80,80
1533111723,80,80
1533112324,80,80
1533112924,80,80
1533113523,80,80
1533114123,80,80
1533115324,80,80
1533116523,80,80
1533117123,80,80
1533117723,80,80
1533118324,80,80
1533118924,80,80
1533120124,80,80
1533121323,80,80
1533121924,80,80
1533122524,80,80
1533123123,80,80
1533124323,80,80
1533124923,80,80
1533126123,80,80
1533127323,80,80
1533128523,80,80
1533129124,80,80
1533129723,80,80
1533130923,80,80
1533131523,79,79
1533132123,80,80
1533133325,80,80
1533134524,80,80
1533135124,80,80
1533135723,80,80
1533136923,80,80
1533137523,80,80
1533138123,80,80
1533138724,80,80
1533139323,80,80
1533139924,80,80
1533140523,80,80
1533141124,80,80
1533141723,80,80
1533142923,80,80
1533144124,80,80
1533144723,80,80
1533145323,80,80
1533146523,80,80
1533147124,80,80
1533147724,80,80
1533148923,80,80
1533149523,80,80
1533150123,80,80
1533151323,80,80
1533151924,80,80
1533152523,80,80
1533153123,80,80
1533153723,80,80
1533154923,80,80
1533156123,80,80
1533156723,80,80
1533157324,80,80
1533157924,80,80
1533158523,80,80
1533159123,80,80
1533159723,80,80
1533160323,80,80
1533160923,80,80
1533162123,80,80
1533162723,80,80
1533163323,80,80
1533164524,80,80
1533165123,80,80
1533166323,80,80
1533166923,80,80
1533168123,80,80
1533168724,80,80
1533169323,80,80
1533170523,80,80
1533171723,80,80
1533172323,80,80
1533172923,80,80
1533173524,80,80
1533174123,80,80
1533174723,80,80
1533175323,80,80
1533176525,80,80
1533177723,80,80
1533178922,80,80
1533179524,80,80
1533180123,80,80
1533181322,80,80
1533182523,80,80
1533183723,80,80
1533184323,80,80
1533184924,80,80
1533185523,80,80
1533186123,80,80
1533186723,80,80
1533187324,80,80
1533188523,80,80
1533189724,80,80
1533190923,80,80
1533191523,80,80
1533192124,80,80
1533193324,80,80
1533193924,80,80
1533194524,80,80
1533195124,80,80
1533195723,80,80
1533196325,80,80
1533196924,80,80
1533198124,80,80
1533198724,80,80
1533199324,80,80
1533199923,80,80
1533200524,80,80
1533201124,80,80
1533201724,80,80
1533202923,80,80
1533203523,80,80
1533204124,80,80
1533204724,80,80
1533205323,80,80
1533206523,80,80
1533207123,80,80
1533207723,80,80
1533208323,80,80
1533208923,80,80
1533210123,80,80
1533210723,80,80
1533211323,80,80
1533212523,80,80
1533213723,80,80
1533214923,80,80
1533216124,80,80
1533217323,80,80
1533217923,80,80
1533218523,80,80
1533219723,80,80
1533220922,80,80
1533222123,80,80
1533222724,80,80
1533223324,80,80
1533224523,80,80
1533225124,80,80
1533225725,80,80
1533226323,80,80
1533226923,80,80
1533228124,80,80
1533229324,80,80
1533230524,80,80
1533231723,80,80
1533232924,80,80
1533233523,80,80
1533234124,80,80
1533235323,80,80
1533236523,80,80
1533237723,80,80
1533238324,80,80
1533238923,80,80
1533239524,80,80
1533240124,80,80
1533241323,80,80
1533242523,80,80
1533243124,80,80
1533243724,80,80
1533244923,80,80
1533245523,79,79
1533246123,80,80
1533247323,80,80
1533247923,80,80
1533248523,80,80
1533249723,80,80
1533250923,80,80
1533252123,80,80
1533253324,80,80
1533253924,80,80
1533254523,80,80
1533255723,80,80
1533256323,80,80
1533256923,80,80
1533258124,80,80
1533258724,80,80
1533259323,80,80
1533259923,80,80
1533260524,80,80
1533261723,80,80
1533262324,80,80
1533262923,80,80
1533264123,80,80
1533265323,80,80
1533266523,80,80
1533267723,80,80
1533268323,80,80
1533268923,80,80
1533270123,80,80
1533271323,80,80
1533272523,80,80
1533273724,80,80
1533274924,80,80
1533275524,80,80
1533276124,80,80
1533276724,80,80
1533277323,80,80
1533278524,80,80
1533279724,80,80
1533280324,80,80
1533280924,80,80
1533282123,80,80
1533282723,80,80
1533283324,80,80
1533284523,80,80
1533285123,80,80
1533285724,80,80
1533286924,80,80
1533287524,80,80
1533288124,80,80
1533289323,80,80
1533290523,80,80
1533291723,80,80
1533292323,80,80
1533292923,80,80
1533294124,80,80
1533295324,80,80
1533295923,80,80
1533296523,80,80
1533297123,80,80
1533297723,80,80
1533298323,80,80
1533298923,80,80
1533300124,80,80
1533300725,80,80
1533301324,80,80
1533302524,80,80
1533303723,80,80
1533304923,80,80
1533306123,80,80
1533307323,80,80
